ID,WEIGHT,DELIVERY_TIME,FRAGILITY_LEVEL
60,3.64,93,C
29,6.51,55,B
83,4.38,6,B
43,6.92,46,C
84,2.31,49,B
66,6.87,27,A
88,5.02,31,B
65,5.16,99,C
6,5.7,51,C
47,7.86,80,B
49,4.64,40,A
12,8.41,76,A
88,7.68,87,A
69,2.44,37,C
53,8.58,69,A
3,3.23,3,B
55,2.82,52,B
56,8.61,24,C
73,7.06,95,A
4,5.54,44,A
15,9.84,52,A
21,8.34,26,B
40,8.05,87,B
12,4.73,46,C
9,3.91,59,B
20,3.89,72,C
62,4.55,92,A
91,7.54,85,C
49,9.24,19,B
74,4.29,51,C
36,8.69,93,B
83,2.7,38,A
55,8.42,22,A
67,7.51,16,C
7,1.53,22,A
27,1.84,56,A
4,2.96,10,A
91,2.33,27,A
93,1.87,58,C
44,8.23,69,B
57,9.79,22,C
61,9.24,50,A
95,4.75,52,A
10,4.71,34,C
72,7.41,33,C
71,6.91,71,B
53,4.65,41,B
62,9.77,13,A
35,6.91,68,A
12,3.86,51,B
